Rating;Problem Name;Problem Link;Submission
1200;Earning on Bets;https://codeforces.com/contest/1979/problem/C;https://codeforces.com/contest/1979/submission/275421157
1000;XOR Sequences;https://codeforces.com/contest/1979/problem/B;https://codeforces.com/contest/1979/submission/275417125
800;Guess the Maximum;https://codeforces.com/contest/1979/problem/A;https://codeforces.com/contest/1979/submission/275415926
1400;Mathematical Problem;https://codeforces.com/contest/1986/problem/D;https://codeforces.com/contest/1986/submission/275304964
1100;Update Queries;https://codeforces.com/contest/1986/problem/C;https://codeforces.com/contest/1986/submission/275303602
1000;Matrix Stabilization;https://codeforces.com/contest/1986/problem/B;https://codeforces.com/contest/1986/submission/275303217
800;X Axis;https://codeforces.com/contest/1986/problem/A;https://codeforces.com/contest/1986/submission/275302673
1500;Expected Median;https://codeforces.com/contest/1999/problem/F;https://codeforces.com/contest/1999/submission/274967415
1700;Ruler (hard version);https://codeforces.com/contest/1999/problem/G2;https://codeforces.com/contest/1999/submission/274927241
1500;Ruler (easy version);https://codeforces.com/contest/1999/problem/G1;https://codeforces.com/contest/1999/submission/274927083
1300;Triple Operations;https://codeforces.com/contest/1999/problem/E;https://codeforces.com/contest/1999/submission/274892125
1000;Card Game;https://codeforces.com/contest/1999/problem/B;https://codeforces.com/contest/1999/submission/274885502
1100;Slavic's Exam;https://codeforces.com/contest/1999/problem/D;https://codeforces.com/contest/1999/submission/274795336
800;Showering;https://codeforces.com/contest/1999/problem/C;https://codeforces.com/contest/1999/submission/274778625
800;A+B Again?;https://codeforces.com/contest/1999/problem/A;https://codeforces.com/contest/1999/submission/274746137
1300;Qingshan Loves Strings 2;https://codeforces.com/contest/1890/problem/C;https://codeforces.com/contest/1890/submission/274602261
800;Doremy's Paint 3;https://codeforces.com/contest/1890/problem/A;https://codeforces.com/contest/1890/submission/274600133
800;Qingshan Loves Strings;https://codeforces.com/contest/1890/problem/B;https://codeforces.com/contest/1890/submission/274599234
2300;Team Building;https://codeforces.com/contest/1316/problem/E;https://codeforces.com/contest/1316/submission/274248736
1700;Rorororobot;https://codeforces.com/contest/1709/problem/D;https://codeforces.com/contest/1709/submission/274087376
1900;Fish Graph;https://codeforces.com/contest/1817/problem/B;https://codeforces.com/contest/1817/submission/273950940
1500;Almost Increasing Subsequence;https://codeforces.com/contest/1817/problem/A;https://codeforces.com/contest/1817/submission/273937969
1700;Array Painting;https://codeforces.com/contest/1849/problem/D;https://codeforces.com/contest/1849/submission/273933731
1800;Prefix Purchase;https://codeforces.com/contest/1870/problem/D;https://codeforces.com/contest/1870/submission/273919781
2000;Pinball;https://codeforces.com/contest/1936/problem/B;https://codeforces.com/contest/1936/submission/273640840
1700;Beautiful Array;https://codeforces.com/contest/1986/problem/E;https://codeforces.com/contest/1986/submission/273413891
1600;Job Interview;https://codeforces.com/contest/1976/problem/C;https://codeforces.com/contest/1976/submission/273408813
1600;Decode;https://codeforces.com/contest/1996/problem/E;https://codeforces.com/contest/1996/submission/273064689
1500;Fun;https://codeforces.com/contest/1996/problem/D;https://codeforces.com/contest/1996/submission/273039755
1200;Sort;https://codeforces.com/contest/1996/problem/C;https://codeforces.com/contest/1996/submission/273011291
800;Scale;https://codeforces.com/contest/1996/problem/B;https://codeforces.com/contest/1996/submission/272917540
800;Legs;https://codeforces.com/contest/1996/problem/A;https://codeforces.com/contest/1996/submission/272913734
1900;Reset K Edges;https://codeforces.com/contest/1739/problem/D;https://codeforces.com/contest/1739/submission/272645418
1900;Berserk Monsters;https://codeforces.com/contest/1922/problem/D;https://codeforces.com/contest/1922/submission/272617693
1300;Arrow Path;https://codeforces.com/contest/1948/problem/C;https://codeforces.com/contest/1948/submission/272172006
1400;Sasha and the Casino;https://codeforces.com/contest/1929/problem/C;https://codeforces.com/contest/1929/submission/271999522
1600;The Meeting Place Cannot Be Changed;https://codeforces.com/contest/782/problem/B;https://codeforces.com/contest/782/submission/226222731
1300;Mahmoud and Ehab and the bipartiteness;https://codeforces.com/contest/862/problem/B;https://codeforces.com/contest/862/submission/221624048
1600;Good Subarrays;https://codeforces.com/contest/1398/problem/C;https://codeforces.com/contest/1398/submission/195398647
